time,sample,cost,cp1x,cp1y,cp1z,cp2x,cp2y,cp2z,cp3x,cp3y,cp3z,cp4x,cp4y,cp4z
0.0,1,0.1763760809750001,8.0,13.0,1.3,7.995,13.125,1.3,7.76,13.52,1.3,7.53,14.2,1.3
0.0,2,0.1763760809750001,8.0,13.0,1.3,7.995,13.125,1.3,7.76,13.52,1.3,7.53,14.2,1.3
0.0,3,0.21093638074695625,8.0,13.0,1.3,8.119500402554472,13.048054808973935,1.302930894149713,7.639082279205163,13.577589396568454,1.4112009459058337,7.542540062866118,14.163477329088765,1.5927646870922614
0.1,1,0.2177995513375,8.0,13.005,1.3,7.96,13.24,1.3,7.645,13.725,1.3,7.56,14.44,1.3
0.1,2,0.2177995513375,8.0,13.005,1.3,7.96,13.24,1.3,7.645,13.725,1.3,7.56,14.44,1.3
0.1,3,0.3840582527862824,8.0,13.005,1.3,8.12347969688427,13.130026781433184,1.4002408125592245,6.7141641175794655,14.231291169016664,0.9497377874318901,7.464332080757745,14.492765073342513,1.2651905457571895
0.2,1,0.26305436414915573,8.0,13.04,1.3,8.01440672118493,13.241957503209777,1.6579192955666178,7.162619516904107,14.198754831661041,0.9041254815824266,7.809332851280312,14.585580480887051,1.357677227282244
0.2,2,0.3055165406152406,8.0,13.04,1.3,8.295468730562792,13.063956701508435,1.6873303889184927,6.894679628489071,14.319306712390338,1.0705363594903938,7.734671361645979,14.638280709442794,1.2098437084552347
0.2,3,0.3549791698530282,8.0,13.04,1.3,7.879831011117493,13.375154776232778,1.158597405507498,7.0552060414362785,14.222407453118338,1.2932107138300595,7.845481213627466,14.540694735191932,1.6077145718629087
0.3,1,0.21458879974136486,7.995,13.125,1.3,8.041269819431655,13.360274945100342,1.2405777212337568,6.790742358942264,14.571970889884481,1.25474403717496,8.102964557023597,14.698149642617308,1.5002541354210415
0.3,2,0.24231914311330746,7.995,13.125,1.3,7.650305155965935,13.586750446393546,1.2534126726763675,6.977158135756187,14.48829162344109,1.1998208961247587,7.97825399191138,14.773240605223307,1.4294143068863108
0.3,3,0.2443299605788628,7.995,13.125,1.3,7.838388847968431,13.488640051806026,1.1464073538050648,7.29393950506795,14.343008630017424,1.0523544724352554,7.883298180559992,14.827444857785778,1.3945926952704024
0.4,1,0.26624675181967017,7.96,13.24,1.3,7.457116337222127,13.850863525509235,1.0279326489864833,7.263437258574506,14.581714085619808,1.4047396612852647,8.257752049296537,14.902390939009367,1.1828780128442604
0.4,2,0.4002470065793337,7.96,13.24,1.3,7.897397742936251,13.612591535449566,0.9165754627262903,6.861585871012532,14.753424413619467,1.6162634087108443,8.389869823867691,14.84893287930957,0.8889328907817047
0.4,3,0.5436645955351996,7.96,13.24,1.3,7.627813042871072,13.7016758110956,1.610030481277707,6.971206204244453,14.649220214455868,2.0395664162465557,8.333199780173048,14.827675024694297,1.5390775762712001
0.5,1,0.5072228852530127,7.875,13.365,1.3,7.3133413472572775,14.125245769054317,0.8471542376156768,7.431215721244261,14.758470985370783,1.591443394626634,8.469559229757287,15.028245986278606,0.7876477826632062
0.5,2,0.5372191434039542,7.875,13.365,1.3,7.326979268089714,14.116301722030817,0.8778385373023618,7.239130960827746,14.809370137279792,1.9610364782508793,8.587354405862008,14.904084810319684,1.5256474936631552
0.5,3,0.5692786009564188,7.875,13.365,1.3,7.619634065921027,13.92521299569466,1.3246960881620748,6.933042096184751,15.016525273490315,1.415987642303811,8.992911666727103,14.661457296421393,1.5398732738948941
0.6,1,0.2878212374442024,7.76,13.52,1.3,7.424736692202111,14.277445941952923,1.0289423822932007,7.432140326519083,15.093420487826371,0.9467566448627734,8.721641564664237,15.02362526940069,1.1604103507578978
0.6,2,0.43086088781833565,7.76,13.52,1.3,7.285928949691162,14.346653542877892,1.0581452928029325,7.92527745978021,14.837108782705506,0.9972863960081023,8.520740651321939,15.119044547599104,1.390816566130667
0.6,3,0.4370220710853473,7.76,13.52,1.3,7.028082646876227,14.445965080613476,1.396798911215554,7.928195495398977,14.840286947610371,0.924120933276884,8.37064482955681,15.219869374948953,1.187763169535409
0.7,1,0.3420164349011223,7.645,13.725,1.3,7.414045392411617,14.515581631032147,1.2988536607724648,7.6019014823768005,15.261175010099,0.9892199772382111,9.11164704986706,14.91666193767268,0.9021555718588873
0.7,2,0.3894012636169033,7.645,13.725,1.3,7.321613191573851,14.521964063882319,1.6922588455322554,7.6944729112552634,15.184333381238453,1.3791415392796795,9.212900922139372,14.805198826458302,1.5070979755413922
0.7,3,0.4819214229354086,7.645,13.725,1.3,7.493163229211354,14.495572712615854,1.043109080423248,7.990648528585406,15.065415344718822,0.9239705534953444,8.691243580149095,15.144248182839808,1.206992960654681
0.8,1,0.39854707253919053,7.56,13.96,1.3,7.28144400406867,14.890244852758387,0.9106626381460208,8.305286368787248,15.087916794938844,1.2565767471344849,9.489416026512345,14.701933899382237,1.2597809706318368
0.8,2,0.44305431180923305,7.56,13.96,1.3,7.467707546196729,14.745037301117108,1.5444558890242284,8.196565594918926,15.1887153761899,0.5667783246419804,9.055435600654887,14.97734123017217,1.208826189895372
0.8,3,0.46199677909422104,7.56,13.96,1.3,7.5605007030512485,14.69074685172761,1.609009340438181,8.059729015984292,15.184965653751322,1.630823805104006,8.997221833345794,14.978371087752043,1.575221838078426
0.9,1,0.33453474573235276,7.53,14.2,1.3,7.412937979347207,15.077170022812972,1.2929402992951955,8.87659390878549,14.919861906081554,1.3140400610212595,9.669495279061637,14.566284237628986,1.15508638499717
